sla_id,ticket_id,response_time_hours,resolution_time_hours
SLA0188,TICK00552,86,89
SLA0189,TICK00892,70,105
SLA0190,TICK00433,74,75
SLA0191,TICK00635,73,117
SLA0192,TICK00347,51,104
SLA0193,TICK00414,74,98
SLA0194,TICK00609,73,112
SLA0195,TICK00793,77,105
SLA0196,TICK00278,93,110
SLA0197,TICK00552,81,82
SLA0198,TICK00053,50,106
SLA0199,TICK00634,60,108
SLA0200,TICK00518,81,120
