ClaimId,CustomerId,PolicyId,ClaimType,ClaimDate,Details
CLID-043,CID-006,PID-016,Auto,2024-12-12,There was a car accident in a parking lot involving multiple vehicles.
CLID-044,CID-006,PID-016,Auto,2025-07-26,Car damage occurred from an uninsured motorist running a red light.
CLID-045,CID-007,PID-017,Travel,2024-11-16,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-046,CID-007,PID-018,Travel,2022-07-14,The trip was interrupted due to missed connections and claims have been initiated.
CLID-047,CID-007,PID-019,Travel,2023-01-31,The trip was interrupted due to missed connections and claims have been initiated.
CLID-048,CID-007,PID-019,Travel,2022-06-09,Travel issues due to missed connections and lost luggage during the trip.
CLID-049,CID-007,PID-019,Travel,2023-03-13,The customer had to file a claim for lost luggage during travel.
CLID-050,CID-007,PID-019,Travel,2022-06-22,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-051,CID-008,PID-020,Travel,2023-12-02,The trip was interrupted due to missed connections and claims have been initiated.
CLID-052,CID-008,PID-020,Travel,2023-05-25,The customer had to file a claim for lost luggage during travel.
CLID-053,CID-008,PID-021,Boat,2021-06-13,Claim submitted for boat damage after an accident at the marina.
CLID-054,CID-009,PID-022,Travel,2022-01-15,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-055,CID-009,PID-022,Travel,2022-02-21,Travel issues due to missed connections and lost luggage during the trip.
CLID-056,CID-010,PID-023,Boat,2025-03-17,The customer reported theft of their boating equipment while docked.
CLID-057,CID-011,PID-024,Travel,2025-08-08,Claim filed for travel cancellation due to a medical emergency.
CLID-058,CID-011,PID-024,Travel,2025-08-25,The trip was interrupted due to missed connections and claims have been initiated.
CLID-059,CID-011,PID-024,Travel,2025-03-11,The customer had to file a claim for lost luggage during travel.
CLID-060,CID-011,PID-024,Travel,2025-06-08,Claim filed for travel cancellation due to a medical emergency.
CLID-061,CID-011,PID-025,Boat,2024-05-04,The customer reported theft of their boating equipment while docked.
CLID-062,CID-011,PID-025,Boat,2024-03-22,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-063,CID-011,PID-025,Boat,2024-07-22,The customer reported theft of their boating equipment while docked.
CLID-064,CID-011,PID-025,Boat,2023-11-29,Claim submitted for boat damage after an accident at the marina.
CLID-065,CID-011,PID-026,Travel,2022-04-13,The customer had to file a claim for lost luggage during travel.
CLID-066,CID-011,PID-027,Boat,2022-10-25,The customer reported theft of their boating equipment while docked.
CLID-067,CID-012,PID-028,Travel,2024-10-04,The trip was interrupted due to missed connections and claims have been initiated.
CLID-068,CID-012,PID-029,Home,2025-11-12,Home damage was reported after a severe storm caused leaks in the roof.
CLID-069,CID-012,PID-030,Home,2020-10-09,"There was damage to the roof after a severe storm, requiring urgent repairs."
CLID-070,CID-012,PID-030,Home,2021-05-17,"There was damage to the roof after a severe storm, requiring urgent repairs."
CLID-071,CID-012,PID-030,Home,2020-10-17,The home experienced significant water damage due to a burst pipe.
CLID-072,CID-013,PID-031,Boat,2025-11-12,Claim submitted for boat damage after an accident at the marina.
CLID-073,CID-013,PID-032,Boat,2024-03-26,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-074,CID-013,PID-032,Boat,2023-08-26,Claim submitted for boat damage after an accident at the marina.
CLID-075,CID-013,PID-032,Boat,2024-03-22,The boat had mechanical issues while out on the water causing delays.
CLID-076,CID-013,PID-033,Boat,2025-11-12,The customer reported theft of their boating equipment while docked.
CLID-077,CID-014,PID-034,Home,2024-11-11,"There was damage to the roof after a severe storm, requiring urgent repairs."
CLID-078,CID-015,PID-035,Auto,2024-06-18,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-079,CID-015,PID-036,Boat,2025-03-17,The customer reported theft of their boating equipment while docked.
CLID-080,CID-016,PID-037,Home,2022-04-24,A tree fell on the customer's house during a storm causing substantial damage.
CLID-081,CID-016,PID-038,Boat,2023-07-12,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-082,CID-016,PID-039,Travel,2021-04-19,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-083,CID-016,PID-040,Boat,2023-07-04,Claim submitted for boat damage after an accident at the marina.
CLID-084,CID-017,PID-041,Boat,2023-12-12,Claim submitted for boat damage after an accident at the marina.
CLID-085,CID-017,PID-041,Boat,2023-06-17,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-086,CID-017,PID-041,Boat,2023-08-26,Claim submitted for boat damage after an accident at the marina.
CLID-087,CID-017,PID-042,Home,2020-08-20,A tree fell on the customer's house during a storm causing substantial damage.
CLID-088,CID-018,PID-043,Travel,2025-03-06,The trip was interrupted due to missed connections and claims have been initiated.
CLID-089,CID-018,PID-044,Home,2022-11-23,Home damage was reported after a severe storm caused leaks in the roof.
CLID-090,CID-018,PID-045,Auto,2023-06-29,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-091,CID-018,PID-045,Auto,2023-01-23,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-092,CID-018,PID-045,Auto,2023-06-27,Car damage occurred from an uninsured motorist running a red light.
CLID-093,CID-018,PID-046,Boat,2025-11-12,The customer reported theft of their boating equipment while docked.
CLID-094,CID-018,PID-046,Boat,2025-11-12,The customer reported theft of their boating equipment while docked.
CLID-095,CID-018,PID-046,Boat,2025-11-12,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-096,CID-018,PID-046,Boat,2025-11-12,Claim submitted for boat damage after an accident at the marina.
CLID-097,CID-019,PID-047,Home,2025-05-23,Home damage was reported after a severe storm caused leaks in the roof.
CLID-098,CID-019,PID-047,Home,2025-11-12,A tree fell on the customer's house during a storm causing substantial damage.
CLID-099,CID-019,PID-047,Home,2025-11-12,The home experienced significant water damage due to a burst pipe.
CLID-100,CID-019,PID-047,Home,2025-11-05,Home damage was reported after a severe storm caused leaks in the roof.
CLID-101,CID-019,PID-048,Boat,2021-08-01,The boat had mechanical issues while out on the water causing delays.
CLID-102,CID-019,PID-048,Boat,2020-12-25,The boat had mechanical issues while out on the water causing delays.
CLID-103,CID-019,PID-049,Home,2025-08-02,A tree fell on the customer's house during a storm causing substantial damage.
CLID-104,CID-019,PID-049,Home,2024-11-08,The home experienced significant water damage due to a burst pipe.
CLID-105,CID-019,PID-049,Home,2025-05-17,The home experienced significant water damage due to a burst pipe.
CLID-106,CID-019,PID-049,Home,2024-12-31,The home experienced significant water damage due to a burst pipe.
CLID-107,CID-020,PID-050,Auto,2024-05-11,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-108,CID-020,PID-050,Auto,2024-03-27,The claim was filed due to a car accident that caused minor damage.
CLID-109,CID-020,PID-050,Auto,2024-03-29,There was a car accident in a parking lot involving multiple vehicles.
CLID-110,CID-020,PID-050,Auto,2025-01-26,Car damage occurred from an uninsured motorist running a red light.
CLID-111,CID-020,PID-051,Auto,2024-08-18,Car damage occurred from an uninsured motorist running a red light.
CLID-112,CID-020,PID-051,Auto,2024-12-11,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-113,CID-020,PID-051,Auto,2025-01-18,There was a car accident in a parking lot involving multiple vehicles.
CLID-114,CID-020,PID-051,Auto,2024-07-03,Car damage occurred from an uninsured motorist running a red light.
CLID-115,CID-020,PID-052,Travel,2021-08-24,Claim filed for travel cancellation due to a medical emergency.
CLID-116,CID-020,PID-052,Travel,2021-10-12,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-117,CID-020,PID-052,Travel,2021-07-30,Travel issues due to missed connections and lost luggage during the trip.
CLID-118,CID-020,PID-052,Travel,2021-09-22,Claim filed for travel cancellation due to a medical emergency.
CLID-119,CID-020,PID-053,Travel,2021-07-07,The trip was interrupted due to missed connections and claims have been initiated.
CLID-120,CID-021,PID-054,Auto,2021-02-13,There was a car accident in a parking lot involving multiple vehicles.
CLID-121,CID-021,PID-054,Auto,2020-10-31,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-122,CID-021,PID-054,Auto,2021-05-07,There was a car accident in a parking lot involving multiple vehicles.
CLID-123,CID-021,PID-054,Auto,2021-04-30,There was a car accident in a parking lot involving multiple vehicles.
CLID-124,CID-022,PID-055,Home,2025-08-13,Home damage was reported after a severe storm caused leaks in the roof.
CLID-125,CID-022,PID-055,Home,2025-01-29,"Home was vandalized, leading to claims for broken windows and theft."
CLID-126,CID-022,PID-055,Home,2024-12-29,The home experienced significant water damage due to a burst pipe.
CLID-127,CID-022,PID-055,Home,2024-11-17,Home damage was reported after a severe storm caused leaks in the roof.
CLID-128,CID-022,PID-056,Boat,2021-03-19,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-129,CID-022,PID-056,Boat,2020-08-21,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-130,CID-023,PID-057,Boat,2025-01-25,The customer reported theft of their boating equipment while docked.
CLID-131,CID-023,PID-058,Auto,2022-10-19,The claim was filed due to a car accident that caused minor damage.
CLID-132,CID-023,PID-058,Auto,2022-06-03,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-133,CID-023,PID-058,Auto,2022-02-25,The claim was filed due to a car accident that caused minor damage.
CLID-134,CID-023,PID-059,Auto,2020-06-07,The claim was filed due to a car accident that caused minor damage.
CLID-135,CID-023,PID-059,Auto,2020-06-11,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-136,CID-023,PID-059,Auto,2020-10-24,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-137,CID-024,PID-060,Auto,2023-01-30,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-138,CID-024,PID-060,Auto,2022-09-05,The claim was filed due to a car accident that caused minor damage.
CLID-139,CID-024,PID-060,Auto,2023-05-26,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-140,CID-024,PID-061,Auto,2023-04-19,There was a car accident in a parking lot involving multiple vehicles.
CLID-141,CID-024,PID-061,Auto,2023-03-14,Car damage occurred from an uninsured motorist running a red light.
CLID-142,CID-024,PID-061,Auto,2023-10-09,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-143,CID-024,PID-061,Auto,2022-12-20,There was a car accident in a parking lot involving multiple vehicles.
CLID-144,CID-024,PID-062,Auto,2020-07-04,The claim was filed due to a car accident that caused minor damage.
CLID-145,CID-024,PID-062,Auto,2021-02-03,There was a car accident in a parking lot involving multiple vehicles.
CLID-146,CID-024,PID-062,Auto,2020-04-21,Car damage occurred from an uninsured motorist running a red light.
CLID-147,CID-024,PID-062,Auto,2020-06-30,There was a car accident in a parking lot involving multiple vehicles.
CLID-148,CID-025,PID-063,Travel,2021-12-24,Claims for lost items while traveling abroad.
CLID-149,CID-025,PID-063,Travel,2022-02-11,Claims for lost items while traveling abroad.
CLID-150,CID-025,PID-064,Home,2021-06-22,"Home was vandalized, leading to claims for broken windows and theft."
CLID-151,CID-025,PID-064,Home,2021-07-24,The home experienced significant water damage due to a burst pipe.
CLID-152,CID-025,PID-064,Home,2021-05-05,A tree fell on the customer's house during a storm causing substantial damage.
CLID-153,CID-025,PID-064,Home,2020-11-24,The home experienced significant water damage due to a burst pipe.
CLID-154,CID-025,PID-065,Boat,2024-11-26,The customer reported theft of their boating equipment while docked.
CLID-155,CID-025,PID-066,Auto,2020-04-26,There was a car accident in a parking lot involving multiple vehicles.
CLID-156,CID-026,PID-067,Auto,2020-09-24,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-157,CID-027,PID-068,Boat,2021-05-15,The boat had mechanical issues while out on the water causing delays.
CLID-158,CID-027,PID-068,Boat,2021-06-01,Claim submitted for boat damage after an accident at the marina.
CLID-159,CID-027,PID-068,Boat,2021-06-18,Claim submitted for boat damage after an accident at the marina.
CLID-160,CID-028,PID-069,Travel,2022-08-31,Claim filed for travel cancellation due to a medical emergency.
CLID-161,CID-028,PID-069,Travel,2022-12-03,Travel issues due to missed connections and lost luggage during the trip.
CLID-162,CID-028,PID-069,Travel,2022-10-20,Claim filed for travel cancellation due to a medical emergency.
CLID-163,CID-028,PID-070,Home,2024-05-27,Home damage was reported after a severe storm caused leaks in the roof.
CLID-164,CID-028,PID-070,Home,2024-07-09,"There was damage to the roof after a severe storm, requiring urgent repairs."
CLID-165,CID-028,PID-071,Travel,2025-07-26,Claims for lost items while traveling abroad.
CLID-166,CID-028,PID-071,Travel,2025-08-03,Claims for lost items while traveling abroad.
CLID-167,CID-028,PID-071,Travel,2025-08-14,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-168,CID-029,PID-072,Travel,2025-11-12,Claims for lost items while traveling abroad.
CLID-169,CID-029,PID-072,Travel,2025-11-12,Claims for lost items while traveling abroad.
CLID-170,CID-029,PID-072,Travel,2025-11-12,Travel issues due to missed connections and lost luggage during the trip.
CLID-171,CID-029,PID-072,Travel,2025-11-12,Claims for lost items while traveling abroad.
CLID-172,CID-029,PID-073,Home,2023-04-30,"Home was vandalized, leading to claims for broken windows and theft."
CLID-173,CID-029,PID-074,Auto,2024-04-05,There was a car accident in a parking lot involving multiple vehicles.
CLID-174,CID-029,PID-074,Auto,2023-11-26,The claim was filed due to a car accident that caused minor damage.
CLID-175,CID-029,PID-074,Auto,2024-04-03,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-176,CID-030,PID-075,Travel,2022-07-07,Travel issues due to missed connections and lost luggage during the trip.
CLID-177,CID-030,PID-075,Travel,2022-09-19,The customer had to file a claim for lost luggage during travel.
CLID-178,CID-030,PID-076,Boat,2021-10-10,The boat had mechanical issues while out on the water causing delays.
CLID-179,CID-030,PID-076,Boat,2021-11-11,The boat had mechanical issues while out on the water causing delays.
CLID-180,CID-030,PID-077,Home,2024-11-16,The home experienced significant water damage due to a burst pipe.
CLID-181,CID-030,PID-078,Auto,2021-07-06,The claim was filed due to a car accident that caused minor damage.
CLID-182,CID-031,PID-079,Auto,2025-11-12,There was a car accident in a parking lot involving multiple vehicles.
CLID-183,CID-031,PID-079,Auto,2025-11-12,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-184,CID-031,PID-079,Auto,2025-11-12,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-185,CID-031,PID-079,Auto,2025-11-12,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-186,CID-031,PID-080,Travel,2024-11-02,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-187,CID-031,PID-080,Travel,2024-09-30,Travel issues due to missed connections and lost luggage during the trip.
CLID-188,CID-031,PID-080,Travel,2024-01-09,Claims for lost items while traveling abroad.
CLID-189,CID-031,PID-081,Auto,2025-11-12,Car damage occurred from an uninsured motorist running a red light.
CLID-190,CID-031,PID-082,Boat,2025-01-25,The customer reported theft of their boating equipment while docked.
CLID-191,CID-031,PID-082,Boat,2024-09-15,Claim submitted for boat damage after an accident at the marina.
CLID-192,CID-032,PID-083,Boat,2021-07-17,The customer reported theft of their boating equipment while docked.
CLID-193,CID-032,PID-083,Boat,2021-08-02,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-194,CID-032,PID-083,Boat,2021-07-10,The customer reported theft of their boating equipment while docked.
CLID-195,CID-032,PID-084,Auto,2022-12-03,Car damage occurred from an uninsured motorist running a red light.
CLID-196,CID-032,PID-084,Auto,2023-01-21,The claim was filed due to a car accident that caused minor damage.
CLID-197,CID-032,PID-084,Auto,2022-12-04,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-198,CID-032,PID-084,Auto,2023-01-28,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-199,CID-033,PID-085,Home,2024-04-23,The home experienced significant water damage due to a burst pipe.
CLID-200,CID-033,PID-086,Travel,2024-08-28,The trip was interrupted due to missed connections and claims have been initiated.
CLID-201,CID-033,PID-086,Travel,2024-10-14,The trip was interrupted due to missed connections and claims have been initiated.
CLID-202,CID-033,PID-086,Travel,2024-07-21,The trip was interrupted due to missed connections and claims have been initiated.
CLID-203,CID-034,PID-087,Travel,2024-05-25,Claim filed for travel cancellation due to a medical emergency.
CLID-204,CID-034,PID-087,Travel,2023-11-01,The trip was interrupted due to missed connections and claims have been initiated.
CLID-205,CID-034,PID-087,Travel,2024-05-19,The customer had to file a claim for lost luggage during travel.
CLID-206,CID-034,PID-088,Boat,2025-11-12,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-207,CID-034,PID-088,Boat,2025-11-12,The boat had mechanical issues while out on the water causing delays.
CLID-208,CID-034,PID-088,Boat,2025-11-12,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-209,CID-034,PID-089,Auto,2021-11-30,The claim was filed due to a car accident that caused minor damage.
CLID-210,CID-034,PID-089,Auto,2021-03-14,Car damage occurred from an uninsured motorist running a red light.
CLID-211,CID-034,PID-089,Auto,2021-09-22,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-212,CID-034,PID-089,Auto,2021-07-13,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-213,CID-034,PID-090,Boat,2025-08-30,The boat had mechanical issues while out on the water causing delays.
CLID-214,CID-034,PID-090,Boat,2025-08-08,The boat had mechanical issues while out on the water causing delays.
CLID-215,CID-034,PID-090,Boat,2025-11-12,The customer reported theft of their boating equipment while docked.
CLID-216,CID-034,PID-090,Boat,2025-11-12,The boat had mechanical issues while out on the water causing delays.
CLID-217,CID-035,PID-091,Travel,2025-11-12,Claims for lost items while traveling abroad.
CLID-218,CID-035,PID-091,Travel,2025-11-12,Claim filed for travel cancellation due to a medical emergency.
CLID-219,CID-035,PID-092,Auto,2024-06-22,Car damage occurred from an uninsured motorist running a red light.
CLID-220,CID-035,PID-092,Auto,2024-05-05,There was a car accident in a parking lot involving multiple vehicles.
CLID-221,CID-035,PID-092,Auto,2024-02-19,There was a car accident in a parking lot involving multiple vehicles.
CLID-222,CID-036,PID-093,Auto,2020-08-18,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-223,CID-036,PID-093,Auto,2021-03-04,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-224,CID-036,PID-094,Travel,2023-07-06,Claim filed for travel cancellation due to a medical emergency.
CLID-225,CID-036,PID-094,Travel,2023-03-21,The customer had to file a claim for lost luggage during travel.
CLID-226,CID-036,PID-095,Travel,2024-03-11,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-227,CID-036,PID-095,Travel,2024-07-28,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-228,CID-036,PID-095,Travel,2023-12-08,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-229,CID-036,PID-095,Travel,2024-03-17,Travel issues due to missed connections and lost luggage during the trip.
CLID-230,CID-036,PID-096,Travel,2024-10-12,The trip was interrupted due to missed connections and claims have been initiated.
CLID-231,CID-036,PID-096,Travel,2024-07-14,The trip was interrupted due to missed connections and claims have been initiated.
CLID-232,CID-037,PID-097,Travel,2025-04-20,The customer had to file a claim for lost luggage during travel.
CLID-233,CID-037,PID-097,Travel,2025-06-21,Claims for lost items while traveling abroad.
CLID-234,CID-037,PID-097,Travel,2025-11-12,Travel issues due to missed connections and lost luggage during the trip.
CLID-235,CID-037,PID-097,Travel,2025-05-11,Claims for lost items while traveling abroad.
CLID-236,CID-037,PID-098,Boat,2025-11-12,Claim submitted for boat damage after an accident at the marina.
CLID-237,CID-037,PID-099,Boat,2021-06-03,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-238,CID-037,PID-099,Boat,2020-12-05,The boat had mechanical issues while out on the water causing delays.
CLID-239,CID-037,PID-099,Boat,2020-10-18,Claim submitted for boat damage after an accident at the marina.
CLID-240,CID-038,PID-100,Travel,2020-04-10,Claims for lost items while traveling abroad.
CLID-241,CID-038,PID-101,Auto,2025-11-12,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-242,CID-038,PID-101,Auto,2025-11-12,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-243,CID-038,PID-101,Auto,2025-11-12,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-244,CID-038,PID-101,Auto,2025-11-12,The claim was filed due to a car accident that caused minor damage.
CLID-245,CID-039,PID-102,Home,2025-04-15,A tree fell on the customer's house during a storm causing substantial damage.
CLID-246,CID-039,PID-102,Home,2025-07-30,A tree fell on the customer's house during a storm causing substantial damage.
CLID-247,CID-039,PID-102,Home,2025-07-22,A tree fell on the customer's house during a storm causing substantial damage.
CLID-248,CID-039,PID-103,Auto,2021-06-25,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-249,CID-039,PID-103,Auto,2021-08-13,There was a car accident in a parking lot involving multiple vehicles.
CLID-250,CID-039,PID-104,Auto,2024-05-24,There was a car accident in a parking lot involving multiple vehicles.
CLID-251,CID-039,PID-104,Auto,2024-05-28,The claim was filed due to a car accident that caused minor damage.
CLID-252,CID-039,PID-105,Auto,2023-08-28,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-253,CID-039,PID-105,Auto,2023-07-09,The claim was filed due to a car accident that caused minor damage.
CLID-254,CID-039,PID-105,Auto,2024-01-19,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-255,CID-040,PID-106,Travel,2024-08-30,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-256,CID-040,PID-106,Travel,2025-03-15,Claim filed for travel cancellation due to a medical emergency.
CLID-257,CID-041,PID-107,Travel,2023-10-10,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-258,CID-041,PID-107,Travel,2024-07-02,Travel issues due to missed connections and lost luggage during the trip.
CLID-259,CID-042,PID-108,Travel,2022-09-06,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-260,CID-042,PID-108,Travel,2022-10-23,"A flight was canceled, leading to additional unexpected expenses for the traveler."
CLID-261,CID-042,PID-108,Travel,2023-01-27,The customer had to file a claim for lost luggage during travel.
CLID-262,CID-042,PID-108,Travel,2022-12-05,Claim filed for travel cancellation due to a medical emergency.
CLID-263,CID-042,PID-109,Boat,2025-04-30,Claim submitted for boat damage after an accident at the marina.
CLID-264,CID-042,PID-109,Boat,2025-10-14,Claim submitted for boat damage after an accident at the marina.
CLID-265,CID-042,PID-109,Boat,2025-05-10,Claim submitted for boat damage after an accident at the marina.
CLID-266,CID-042,PID-110,Travel,2020-06-03,Claim filed for travel cancellation due to a medical emergency.
CLID-267,CID-043,PID-111,Travel,2024-03-09,The trip was interrupted due to missed connections and claims have been initiated.
CLID-268,CID-043,PID-112,Auto,2021-09-18,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-269,CID-044,PID-113,Home,2021-10-24,The home experienced significant water damage due to a burst pipe.
CLID-270,CID-044,PID-113,Home,2022-04-28,Home damage was reported after a severe storm caused leaks in the roof.
CLID-271,CID-044,PID-113,Home,2022-06-26,"There was damage to the roof after a severe storm, requiring urgent repairs."
CLID-272,CID-044,PID-113,Home,2022-07-07,"Home was vandalized, leading to claims for broken windows and theft."
CLID-273,CID-044,PID-114,Boat,2023-12-09,Claim submitted for boat damage after an accident at the marina.
CLID-274,CID-044,PID-114,Boat,2023-06-08,Claim submitted for boat damage after an accident at the marina.
CLID-275,CID-044,PID-114,Boat,2024-03-08,Claim submitted for boat damage after an accident at the marina.
CLID-276,CID-044,PID-114,Boat,2024-02-14,Claim submitted for boat damage after an accident at the marina.
CLID-277,CID-044,PID-115,Boat,2020-09-14,The boat had mechanical issues while out on the water causing delays.
CLID-278,CID-044,PID-115,Boat,2020-08-21,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-279,CID-044,PID-115,Boat,2021-06-09,Claim submitted for boat damage after an accident at the marina.
CLID-280,CID-044,PID-115,Boat,2021-03-19,The customer reported theft of their boating equipment while docked.
CLID-281,CID-045,PID-116,Home,2022-10-04,The home experienced significant water damage due to a burst pipe.
